,Date et heure de comptage,date,weekday,weekofyear,month,year,time,mean_debit_horaire_past_week,mean_taux_occupation_past_week,tmin,tmax,taux_occupation_sae,confin_0,confin_1,confin_2,couvrefeu,ferie
0,2020-12-11 00:00:00+01:00,2020-12-11,4,50,12,2020,00:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
1,2020-12-11 01:00:00+01:00,2020-12-11,4,50,12,2020,01:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
2,2020-12-11 02:00:00+01:00,2020-12-11,4,50,12,2020,02:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
3,2020-12-11 03:00:00+01:00,2020-12-11,4,50,12,2020,03:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
4,2020-12-11 04:00:00+01:00,2020-12-11,4,50,12,2020,04:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
5,2020-12-11 05:00:00+01:00,2020-12-11,4,50,12,2020,05:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
6,2020-12-11 06:00:00+01:00,2020-12-11,4,50,12,2020,06:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
7,2020-12-11 07:00:00+01:00,2020-12-11,4,50,12,2020,07:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
8,2020-12-11 08:00:00+01:00,2020-12-11,4,50,12,2020,08:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
9,2020-12-11 09:00:00+01:00,2020-12-11,4,50,12,2020,09:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
10,2020-12-11 10:00:00+01:00,2020-12-11,4,50,12,2020,10:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
11,2020-12-11 11:00:00+01:00,2020-12-11,4,50,12,2020,11:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
12,2020-12-11 12:00:00+01:00,2020-12-11,4,50,12,2020,12:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
13,2020-12-11 13:00:00+01:00,2020-12-11,4,50,12,2020,13:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
14,2020-12-11 14:00:00+01:00,2020-12-11,4,50,12,2020,14:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
15,2020-12-11 15:00:00+01:00,2020-12-11,4,50,12,2020,15:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
16,2020-12-11 16:00:00+01:00,2020-12-11,4,50,12,2020,16:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
17,2020-12-11 17:00:00+01:00,2020-12-11,4,50,12,2020,17:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
18,2020-12-11 18:00:00+01:00,2020-12-11,4,50,12,2020,18:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
19,2020-12-11 19:00:00+01:00,2020-12-11,4,50,12,2020,19:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
20,2020-12-11 20:00:00+01:00,2020-12-11,4,50,12,2020,20:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
21,2020-12-11 21:00:00+01:00,2020-12-11,4,50,12,2020,21:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
22,2020-12-11 22:00:00+01:00,2020-12-11,4,50,12,2020,22:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
23,2020-12-11 23:00:00+01:00,2020-12-11,4,50,12,2020,23:00:00,701.1428571428571,11.002395416666667,7,11,55.85,0,0,1,0,0
24,2020-12-12 00:00:00+01:00,2020-12-12,5,50,12,2020,00:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
25,2020-12-12 01:00:00+01:00,2020-12-12,5,50,12,2020,01:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
26,2020-12-12 02:00:00+01:00,2020-12-12,5,50,12,2020,02:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
27,2020-12-12 03:00:00+01:00,2020-12-12,5,50,12,2020,03:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
28,2020-12-12 04:00:00+01:00,2020-12-12,5,50,12,2020,04:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
29,2020-12-12 05:00:00+01:00,2020-12-12,5,50,12,2020,05:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
30,2020-12-12 06:00:00+01:00,2020-12-12,5,50,12,2020,06:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
31,2020-12-12 07:00:00+01:00,2020-12-12,5,50,12,2020,07:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
32,2020-12-12 08:00:00+01:00,2020-12-12,5,50,12,2020,08:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
33,2020-12-12 09:00:00+01:00,2020-12-12,5,50,12,2020,09:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
34,2020-12-12 10:00:00+01:00,2020-12-12,5,50,12,2020,10:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
35,2020-12-12 11:00:00+01:00,2020-12-12,5,50,12,2020,11:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
36,2020-12-12 12:00:00+01:00,2020-12-12,5,50,12,2020,12:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
37,2020-12-12 13:00:00+01:00,2020-12-12,5,50,12,2020,13:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
38,2020-12-12 14:00:00+01:00,2020-12-12,5,50,12,2020,14:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
39,2020-12-12 15:00:00+01:00,2020-12-12,5,50,12,2020,15:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
40,2020-12-12 16:00:00+01:00,2020-12-12,5,50,12,2020,16:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
41,2020-12-12 17:00:00+01:00,2020-12-12,5,50,12,2020,17:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
42,2020-12-12 18:00:00+01:00,2020-12-12,5,50,12,2020,18:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
43,2020-12-12 19:00:00+01:00,2020-12-12,5,50,12,2020,19:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
44,2020-12-12 20:00:00+01:00,2020-12-12,5,50,12,2020,20:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
45,2020-12-12 21:00:00+01:00,2020-12-12,5,50,12,2020,21:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
46,2020-12-12 22:00:00+01:00,2020-12-12,5,50,12,2020,22:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
47,2020-12-12 23:00:00+01:00,2020-12-12,5,50,12,2020,23:00:00,701.1428571428571,11.002395416666667,4,10,54.69,0,0,1,0,0
48,2020-12-13 00:00:00+01:00,2020-12-13,6,50,12,2020,00:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
49,2020-12-13 01:00:00+01:00,2020-12-13,6,50,12,2020,01:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
50,2020-12-13 02:00:00+01:00,2020-12-13,6,50,12,2020,02:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
51,2020-12-13 03:00:00+01:00,2020-12-13,6,50,12,2020,03:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
52,2020-12-13 04:00:00+01:00,2020-12-13,6,50,12,2020,04:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
53,2020-12-13 05:00:00+01:00,2020-12-13,6,50,12,2020,05:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
54,2020-12-13 06:00:00+01:00,2020-12-13,6,50,12,2020,06:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
55,2020-12-13 07:00:00+01:00,2020-12-13,6,50,12,2020,07:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
56,2020-12-13 08:00:00+01:00,2020-12-13,6,50,12,2020,08:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
57,2020-12-13 09:00:00+01:00,2020-12-13,6,50,12,2020,09:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
58,2020-12-13 10:00:00+01:00,2020-12-13,6,50,12,2020,10:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
59,2020-12-13 11:00:00+01:00,2020-12-13,6,50,12,2020,11:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
60,2020-12-13 12:00:00+01:00,2020-12-13,6,50,12,2020,12:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
61,2020-12-13 13:00:00+01:00,2020-12-13,6,50,12,2020,13:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
62,2020-12-13 14:00:00+01:00,2020-12-13,6,50,12,2020,14:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
63,2020-12-13 15:00:00+01:00,2020-12-13,6,50,12,2020,15:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
64,2020-12-13 16:00:00+01:00,2020-12-13,6,50,12,2020,16:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
65,2020-12-13 17:00:00+01:00,2020-12-13,6,50,12,2020,17:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
66,2020-12-13 18:00:00+01:00,2020-12-13,6,50,12,2020,18:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
67,2020-12-13 19:00:00+01:00,2020-12-13,6,50,12,2020,19:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
68,2020-12-13 20:00:00+01:00,2020-12-13,6,50,12,2020,20:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
69,2020-12-13 21:00:00+01:00,2020-12-13,6,50,12,2020,21:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
70,2020-12-13 22:00:00+01:00,2020-12-13,6,50,12,2020,22:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
71,2020-12-13 23:00:00+01:00,2020-12-13,6,50,12,2020,23:00:00,701.1428571428571,11.002395416666667,8,8,53.57,0,0,1,0,0
72,2020-12-14 00:00:00+01:00,2020-12-14,0,51,12,2020,00:00:00,701.1428571428571,11.002395416666667,9,11,52.47,0,0,1,0,0
73,2020-12-14 01:00:00+01:00,2020-12-14,0,51,12,2020,01:00:00,701.1428571428571,11.002395416666667,9,11,52.47,0,0,1,0,0
74,2020-12-14 02:00:00+01:00,2020-12-14,0,51,12,2020,02:00:00,701.1428571428571,11.002395416666667,9,11,52.47,0,0,1,0,0
75,2020-12-14 03:00:00+01:00,2020-12-14,0,51,12,2020,03:00:00,701.1428571428571,11.002395416666667,9,11,52.47,0,0,1,0,0
76,2020-12-14 04:00:00+01:00,2020-12-14,0,51,12,2020,04:00:00,701.1428571428571,11.002395416666667,9,11,52.47,0,0,1,0,0
77,2020-12-14 05:00:00+01:00,2020-12-14,0,51,12,2020,05:00:00,701.1428571428571,11.002395416666667,9,11,52.47,0,0,1,0,0
78,2020-12-14 06:00:00+01:00,2020-12-14,0,51,12,2020,06:00:00,701.1428571428571,11.002395416666667,9,11,52.47,0,0,1,0,0
79,2020-12-14 07:00:00+01:00,2020-12-14,0,51,12,2020,07:00:00,701.1428571428571,11.002395416666667,9,11,52.47,0,0,1,0,0
80,2020-12-14 08:00:00+01:00,2020-12-14,0,51,12,2020,08:00:00,701.1428571428571,11.002395416666667,9,11,52.47,0,0,1,0,0
81,2020-12-14 09:00:00+01:00,2020-12-14,0,51,12,2020,09:00:00,701.1428571428571,11.002395416666667,9,11,52.47,0,0,1,0,0
82,2020-12-14 10:00:00+01:00,2020-12-14,0,51,12,2020,10:00:00,701.1428571428571,11.002395416666667,9,11,52.47,0,0,1,0,0
83,2020-12-14 11:00:00+01:00,2020-12-14,0,51,12,2020,11:00:00,701.1428571428571,11.002395416666667,9,11,52.47,0,0,1,0,0
84,2020-12-14 12:00:00+01:00,2020-12-14,0,51,12,2020,12:00:00,701.1428571428571,11.002395416666667,9,11,52.47,0,0,1,0,0
85,2020-12-14 13:00:00+01:00,2020-12-14,0,51,12,2020,13:00:00,701.1428571428571,11.002395416666667,9,11,52.47,0,0,1,0,0
86,2020-12-14 14:00:00+01:00,2020-12-14,0,51,12,2020,14:00:00,701.1428571428571,11.002395416666667,9,11,52.47,0,0,1,0,0
